Name,ID,Application_Num,Member_HICN,Plan,Effective_Date,Termination_Date
Adam Hughes,290,1253240,PAe42136,BP2,2022-01-26,2023-01-26
Jason Cruz,545,55086605,sbc22542,BP4,2021-11-11,2022-11-11
Lori Vega,287,44328231,FMQ54961,BP1,2021-06-07,2022-06-07
Amber Gibbs,863,18368312,ZoL63944,BP1,2022-09-22,2023-09-22
Mr. Joseph Koch,726,18561095,kqt06232,BP1,2021-04-02,2022-04-02
James Hill,976,30788438,MQe52149,BP1,2021-02-11,2022-02-11
Christine James,773,77641827,CJF84717,BP4,2022-02-11,2023-02-11
Joan Bowen,148,36042272,rSV23123,BP4,2022-06-29,2023-06-29
Brandon Morrison,160,57168422,rSG39002,BP1,2022-03-22,2023-03-22
David Simpson,203,31198048,LBs85860,BP4,2022-07-06,2023-07-06
Jeffery Baker,152,9343057,Iah89881,BP4,2022-01-25,2023-01-25
Eric Martinez,511,3552019,QIE63101,BP4,2021-03-31,2022-03-31
Heidi Stephenson,586,65283738,qwO79455,BP1,2022-04-30,2023-04-30
Shawna Wilson,023,91900010,YvX49846,BP1,2022-12-09,2023-12-09
Ethan Johnson,283,72613836,qBG86231,BP1,2021-09-12,2022-09-12
Matthew Roberts,915,42866685,ETF69618,BP3,2022-11-29,2023-11-29
Travis White,799,71240146,smc85625,BP3,2022-03-17,2023-03-17
Frank Mcfarland,893,48210497,ZTy97375,BP1,2020-03-31,2021-03-31
Linda Jensen,786,58346945,vqf24922,BP1,2022-01-23,2023-01-23
Joshua Scott,994,95473311,kMM54483,BP1,2022-03-18,2023-03-18
Rebecca Sosa,418,5027963,BOi46296,BP1,2020-11-24,2021-11-24
Robert Arroyo,316,41556991,Hcw93572,BP4,2020-08-22,2021-08-22
Leonard Morgan,621,61691068,PDu84511,BP1,2022-01-22,2023-01-22
Jared Heath,844,28957715,SrG16809,BP3,2020-04-25,2021-04-25
Claudia Mayer,144,25672194,uBD93162,BP1,2020-04-03,2021-04-03
Glenda Hubbard,967,42100499,izn55842,BP3,2022-11-26,2023-11-26
Andrew Larson,845,1100596,DjR14246,BP3,2021-03-03,2022-03-03
Mitchell Buck,236,34157654,sYs47937,BP4,2021-08-11,2022-08-11
Joshua Sanchez,792,9605407,ZXZ32079,BP1,2022-12-20,2023-12-20
Andre Smith,947,11370251,sdn78383,BP1,2020-01-08,2021-01-07
Tricia Hill,639,43682895,HmM68437,BP4,2020-11-24,2021-11-24
Catherine Dyer,890,30716630,eoo71153,BP2,2020-04-26,2021-04-26
Leslie Villanueva,436,9602760,zHf80941,BP3,2022-01-16,2023-01-16
Jay Parker,160,89560492,NlC73995,BP3,2020-04-11,2021-04-11
Karen Ward,907,37562227,juA51413,BP2,2021-01-17,2022-01-17
Brianna Rodgers,853,37382233,kIY51192,BP1,2020-08-30,2021-08-30
Dylan Clark,595,83205296,gPr32497,BP4,2021-03-14,2022-03-14
Timothy Williams,603,68927056,GJI33035,BP3,2020-09-09,2021-09-09
Tammy Anderson,322,28493416,ySm29299,BP1,2022-05-16,2023-05-16
Tony Rogers,333,81742339,kkF63957,BP1,2022-01-14,2023-01-14
David Mcbride,441,1848725,bUj98805,BP4,2020-03-11,2021-03-11
Devon Parks,664,77455518,QSO97853,BP4,2022-02-07,2023-02-07
Steven Spencer,084,40620531,IcJ54721,BP3,2021-02-06,2022-02-06
Richard Newman,729,26162996,rCa22269,BP3,2020-10-08,2021-10-08
Michelle Rivera,661,68265437,nrR61795,BP2,2020-05-06,2021-05-06
Eric Roberts,424,90096172,nYh55511,BP1,2020-12-05,2021-12-05
Marisa Tucker,737,84651363,diX74958,BP3,2020-12-25,2021-12-25
Dr. Larry Hunt,277,81710154,xcc97237,BP3,2022-09-19,2023-09-19
Jason Baker,531,84575537,gaX75293,BP2,2020-08-24,2021-08-24
David Hayes,600,18288445,KMW80653,BP3,2021-08-23,2022-08-23
David Williams,842,11137161,Oel30163,BP1,2020-09-16,2021-09-16
Mary Wong,229,53234281,sjY74632,BP2,2022-12-07,2023-12-07
Brandon Porter,822,40045571,WIL91563,BP2,2021-07-25,2022-07-25
Christian Ali,959,50588600,LNb06224,BP1,2020-04-05,2021-04-05
Kristin Wise,832,14728662,vRj60570,BP4,2020-05-08,2021-05-08
Kevin Harrell,547,50735076,tta47729,BP2,2022-01-27,2023-01-27
Diane Sanchez,295,8550602,Yab75781,BP2,2022-10-22,2023-10-22
Martha Montgomery,141,99660959,EGO27152,BP3,2021-06-11,2022-06-11
Sharon Campbell,170,97643550,SHp21588,BP4,2020-03-25,2021-03-25
Jose Dunn,241,53887917,lrK90212,BP4,2022-04-03,2023-04-03
Caitlin Johnson,984,6284330,JJg00092,BP4,2022-11-06,2023-11-06
Mary Perez,900,41469517,TvE10720,BP4,2022-04-14,2023-04-14
Stephanie Jimenez,353,18592356,FkD38123,BP3,2021-03-24,2022-03-24
Ronnie Maldonado,235,78980167,QNt65883,BP3,2022-03-22,2023-03-22
Cynthia Lane,341,96629025,ZzH05562,BP4,2022-05-17,2023-05-17
Renee Nunez,057,87400195,wXv52864,BP4,2021-10-15,2022-10-15
Jeff Robinson,351,26145392,BAI39037,BP3,2021-07-07,2022-07-07
Isabella Turner,516,58485906,JnY42117,BP2,2021-05-30,2022-05-30
Miranda Lewis,310,23899845,kTi38966,BP2,2021-04-19,2022-04-19
Kurt Rivera,802,81514295,nwV49035,BP4,2021-12-28,2022-12-28
