Name,ID,Application_Num,Member_HICN,Plan,Effective_Date,Termination_Date
Stephanie Perez,379,45302344,sMZ70184,BP1,2026-08-04,2027-08-04
Melanie Dickerson,591,16807585,Azz26715,BP1,2024-12-19,2025-12-19
Rebecca Smith,968,26371614,kxB25597,BP4,2026-02-07,2027-02-07
Gabriel Dixon,558,78731277,NjK37290,BP2,2025-02-18,2026-02-18
Jessica Schmidt,124,84302593,NrV67144,BP1,2026-03-08,2027-03-08
Lee Tapia,462,6549960,ZqT44945,BP1,2025-03-21,2026-03-21
William Campbell,186,99340742,rLT48590,BP2,2025-12-02,2026-12-02
Kathleen Boyd,618,16172438,Myb60209,BP2,2025-07-26,2026-07-26
Gregory Stewart,888,76107333,Lmz96294,BP1,2025-02-25,2026-02-25
Sheila Carter,188,59591909,yGl15313,BP1,2026-09-16,2027-09-16
David Webb,494,15252661,kJp29282,BP2,2024-03-17,2025-03-17
Eric Thomas,687,9928325,ARW54073,BP4,2024-01-01,2024-12-31
Michelle Mendoza,278,39624266,dsa09282,BP2,2025-06-30,2026-06-30
Zachary Gilmore,033,27699484,deT52377,BP3,2024-06-23,2025-06-23
Angela Simpson,830,20168801,HmL86891,BP1,2026-01-01,2027-01-01
Shannon Stevens,583,3960185,eoC99790,BP3,2026-03-18,2027-03-18
Mark Johnson,190,50172228,oix73524,BP2,2025-09-19,2026-09-19
Kelsey Matthews,189,42651133,roj74438,BP4,2026-05-07,2027-05-07
Douglas Rodriguez,889,60768222,JAT51160,BP4,2024-11-16,2025-11-16
Daniel Weaver,923,84761534,sUZ73412,BP3,2024-02-14,2025-02-13
Andrew Rice,542,72256812,OQB85055,BP1,2025-03-07,2026-03-07
Erin Nicholson,038,72287100,fON57650,BP3,2025-06-15,2026-06-15
Amy Reeves,375,44523270,gIQ66784,BP3,2025-07-24,2026-07-24
William Irwin,880,42802531,CIN74438,BP1,2025-08-30,2026-08-30
Robert Carlson,443,85216774,uYc05096,BP3,2026-04-25,2027-04-25
Autumn Hernandez,609,17070055,Nrw82308,BP3,2026-07-29,2027-07-29
Matthew Flores,911,69072638,Wdv65835,BP2,2025-10-15,2026-10-15
Allen Rivera,531,52591255,tHO71285,BP2,2025-06-07,2026-06-07
Jeffrey King,153,35659255,FIp70376,BP2,2025-01-29,2026-01-29
Darryl Atkinson,524,96007995,iEH43839,BP4,2024-04-28,2025-04-28
William Wright,633,49138434,Jtk70934,BP3,2024-09-25,2025-09-25
Laurie Jensen,357,79015102,UTt26432,BP4,2024-08-27,2025-08-27
Jason Barnes,428,66524469,qMt49795,BP3,2026-04-25,2027-04-25
Madison Rodriguez,191,65862644,pON46212,BP4,2026-03-10,2027-03-10
Nicholas Bean,676,21465454,FNv24207,BP3,2024-03-20,2025-03-20
Tanya Boyd,686,5177043,Rhs90672,BP3,2026-01-17,2027-01-17
Jessica Harrington,539,49181560,HJH09032,BP3,2026-01-05,2027-01-05
Amber Schneider,217,58502968,RzF85771,BP2,2025-01-22,2026-01-22
David Miller,811,74612900,dwh38449,BP2,2025-11-01,2026-11-01
Dustin Bonilla,445,91342995,bun49275,BP2,2026-04-19,2027-04-19
Cassandra Clark,784,54929385,MoQ68427,BP1,2026-03-14,2027-03-14
Timothy Jones,187,7628544,ChH70004,BP3,2024-06-19,2025-06-19
Kim Barton,033,66377201,HOo17418,BP3,2026-12-28,2027-12-28
Diana Lyons,354,93292230,deI10329,BP1,2025-05-08,2026-05-08
John Wilkins,534,27756754,VWv85592,BP1,2025-09-02,2026-09-02
