Name,ID,Application_Num,Member_HICN,Plan,Effective_Date,Termination_Date
Eric Watson,180,33589817,Cao65780,BP4,2021-02-18,2022-02-18
Dustin Craig,065,25156844,YUI03927,BP4,2020-01-11,2021-01-10
Sara Brown,596,56808352,uft20417,BP1,2022-09-21,2023-09-21
Shannon Coleman,747,28473179,fKz47916,BP3,2022-01-21,2023-01-21
Lisa Sanchez,462,37801359,hPo69185,BP3,2022-01-23,2023-01-23
Christopher Sanchez,070,1913147,gBF00656,BP1,2021-03-04,2022-03-04
Natalie Nichols,733,36784861,bqP81319,BP2,2022-08-25,2023-08-25
Jessica Jacobson,918,98906063,BYD27492,BP3,2022-04-09,2023-04-09
Carolyn Wilson,577,4450955,sai42153,BP1,2021-06-22,2022-06-22
Valerie Tucker,187,45198955,wZr21187,BP4,2021-02-27,2022-02-27
Karen Mason,887,32432790,vnf45400,BP3,2022-01-10,2023-01-10
Amanda Oliver,288,89548294,YHi56854,BP2,2021-07-12,2022-07-12
Robert Jordan,552,54913325,gbe64885,BP4,2022-09-20,2023-09-20
John Anderson,628,59948503,RNq23498,BP1,2021-04-28,2022-04-28
Jordan Allen,978,51710230,IYw83172,BP4,2021-11-27,2022-11-27
William Ramos,283,22914811,tGb95223,BP3,2020-05-03,2021-05-03
Ashley Parker,558,58166978,llJ42162,BP2,2022-09-27,2023-09-27
James Allen,086,30208547,qed99830,BP3,2021-03-15,2022-03-15
Andrea Moss,329,7016200,CoR30672,BP4,2021-03-25,2022-03-25
Kerry Huynh,281,51136173,kxo40495,BP1,2022-08-23,2023-08-23
Robert Austin,083,8654512,AZR15494,BP1,2022-06-29,2023-06-29
Benjamin Ramirez,251,54145561,ihy56657,BP4,2022-03-11,2023-03-11
Vincent Ellis,356,64749084,QRT24046,BP3,2022-03-01,2023-03-01
Jasmine Roberts,897,64500641,kvU45351,BP2,2020-06-04,2021-06-04
William Jackson,210,57444858,ebD92186,BP3,2021-03-18,2022-03-18
Dr. Teresa Perry,695,15335523,yxv13178,BP3,2022-08-02,2023-08-02
Paul Welch,802,92279987,zXA54854,BP4,2021-08-17,2022-08-17
Robert Adams,247,59159963,dYe89069,BP4,2021-05-16,2022-05-16
Amanda Mclaughlin,865,3793079,amK07710,BP3,2022-09-05,2023-09-05
Richard Hoffman,779,14947334,Rdq28217,BP1,2020-06-17,2021-06-17
Mathew Randall,696,12264664,cBC46749,BP3,2021-12-31,2022-12-31
Troy Martinez,767,60108421,aDX79794,BP4,2021-11-27,2022-11-27
Alicia Stout,718,19091295,amx50359,BP3,2020-12-16,2021-12-16
Jamie Castillo MD,374,24157597,ioP07895,BP3,2021-11-11,2022-11-11
Angela Benton,677,84573566,tey43643,BP1,2020-07-17,2021-07-17
Amanda Robinson,943,43305861,wbp21704,BP4,2020-10-17,2021-10-17
Adam Gonzalez,008,2748696,VeJ53561,BP4,2021-08-29,2022-08-29
Patrick Gordon MD,914,37163328,bur59606,BP1,2020-10-06,2021-10-06
Melissa Rogers,203,18867103,Erw78807,BP1,2021-10-11,2022-10-11
Kathryn Miller,069,10458213,ulT45293,BP4,2020-04-02,2021-04-02
Victoria Frye,315,52496591,LGL24657,BP3,2021-04-23,2022-04-23
Amy Green,460,88644085,YZn52900,BP3,2022-06-17,2023-06-17
Crystal Fields,571,85541220,Ouy16314,BP1,2022-07-07,2023-07-07
Kristen Butler,955,39112403,AMs58926,BP3,2022-07-22,2023-07-22
John Phillips,703,33965268,HPQ10964,BP2,2020-02-05,2021-02-04
Wesley Simmons,884,98481320,Zls70402,BP1,2020-09-23,2021-09-23
Scott Jordan,097,2707150,dVr53646,BP2,2020-05-01,2021-05-01
Margaret Miller,300,41391772,tOR75920,BP3,2022-06-25,2023-06-25
Crystal Hall,147,60039489,Mcm98600,BP2,2021-05-08,2022-05-08
Russell Martinez,646,13786301,ufX80278,BP2,2022-07-06,2023-07-06
Bruce Nelson,590,35554816,zsX43682,BP3,2021-08-22,2022-08-22
Sara Thomas,729,15302642,IVr81314,BP4,2020-02-11,2021-02-10
David Moore,102,13010501,ZMn07704,BP2,2022-02-07,2023-02-07
Amanda Thompson,847,82187661,aQl13764,BP2,2022-05-06,2023-05-06
Samantha Kim,344,16033958,ZXR28690,BP2,2020-08-01,2021-08-01
Megan Young,488,89450732,Vnp98680,BP4,2021-10-17,2022-10-17
Denise Macias,028,23863499,THl02229,BP1,2020-12-16,2021-12-16
Margaret Crawford,701,76138912,emp99889,BP3,2021-12-13,2022-12-13
Samuel Berry,345,73615262,wpl40174,BP2,2020-05-22,2021-05-22
Olivia Russell,089,86765936,Uux58258,BP3,2022-06-28,2023-06-28
Lisa Wilson,820,88238427,PGo29850,BP3,2021-04-26,2022-04-26
Dakota Day DDS,699,48289617,gLz78943,BP1,2022-09-28,2023-09-28
Amy Malone,990,77292996,WGJ66205,BP4,2021-12-17,2022-12-17
George Harris,332,2010712,INj38517,BP2,2022-04-17,2023-04-17
James Williams,444,17960794,RSk70418,BP2,2022-11-23,2023-11-23
Misty Garcia,299,13702444,qPt99439,BP3,2022-11-02,2023-11-02
Michael Moore,136,83575968,iCj13513,BP2,2020-02-23,2021-02-22
April Clark,979,34890606,KBi22588,BP3,2022-09-17,2023-09-17
Tammy Nash,086,95543965,CUk46518,BP3,2020-04-27,2021-04-27
Jessica Diaz,211,3321311,HaQ97908,BP1,2021-12-17,2022-12-17
Joyce Bell,910,16085634,uxP63548,BP4,2020-11-08,2021-11-08
Amber Sullivan,234,45513223,QZX24102,BP1,2021-05-18,2022-05-18
Matthew Velez,008,21821378,NFG59886,BP2,2020-06-22,2021-06-22
Autumn Miller,402,87156798,hsI93502,BP3,2021-08-26,2022-08-26
Jesus Espinoza,719,98622111,Rdx62201,BP1,2022-11-12,2023-11-12
Tina Lewis,763,2395109,MZT79197,BP4,2020-10-21,2021-10-21
Mariah Lutz,699,884110,Att69580,BP3,2021-11-29,2022-11-29
Andrew Schmidt,861,57606979,XwI59126,BP4,2021-04-22,2022-04-22
Alexandra Finley,518,90701590,QOh55523,BP2,2022-03-03,2023-03-03
Alan Roberson,985,21786499,ubk89026,BP3,2022-04-08,2023-04-08
Lorraine Fry,171,9863242,Fmq49315,BP4,2020-03-24,2021-03-24
Bianca Edwards,908,49286489,XjZ70200,BP3,2020-08-30,2021-08-30
Jeffrey Robles,503,28176609,Rnj45741,BP2,2020-05-30,2021-05-30
Tracey Patterson,857,11968972,saZ89812,BP3,2022-12-17,2023-12-17
Stephanie Owens,718,67175388,uee01145,BP4,2021-02-25,2022-02-25
Amanda Duke,560,5943966,bmA64305,BP2,2020-12-06,2021-12-06
Michael Carrillo,406,27229422,kTK69098,BP1,2022-09-25,2023-09-25
Travis Ellis,144,82786218,XUm94497,BP4,2021-08-25,2022-08-25
Bradley Smith,497,95011451,IKx19937,BP4,2021-04-07,2022-04-07
Chelsea Allison,280,86283160,kJG37200,BP4,2022-01-08,2023-01-08
Donna Mitchell,378,25074758,QcP86964,BP2,2020-07-31,2021-07-31
Jerry English,062,61215532,HfJ37849,BP1,2022-04-21,2023-04-21
Tammy Morrow,317,26715909,Zii55621,BP1,2022-07-27,2023-07-27
Ashley Nelson,117,47418086,KRT98708,BP2,2021-05-29,2022-05-29
Sarah Lyons,717,51238577,IYm45193,BP1,2022-01-02,2023-01-02
Andrew Yoder,873,29097339,jXO19719,BP4,2022-08-04,2023-08-04
Cynthia Bauer,162,72090317,ZTv59293,BP4,2020-05-16,2021-05-16
Samuel Alvarez,741,32798589,yuV36865,BP1,2020-01-13,2021-01-12
Yvonne Mason,894,2421549,wPv14318,BP1,2021-11-25,2022-11-25
Jennifer Dawson,596,51163776,QUa12028,BP4,2020-07-29,2021-07-29
Anthony Smith,899,59772582,MPd22216,BP3,2022-08-10,2023-08-10
Karen Brown,006,50628289,nrS00928,BP3,2020-03-27,2021-03-27
Emily Mcfarland,555,9599066,ZUn54715,BP3,2022-03-12,2023-03-12
Aaron Watson,423,14696864,IEZ13159,BP2,2020-06-06,2021-06-06
William Larson,001,20584524,ZuY73185,BP2,2022-07-12,2023-07-12
Jeffrey Hess,090,40899919,JmP48859,BP2,2022-04-30,2023-04-30
Joshua Weber,087,75727088,VsF89101,BP2,2021-03-09,2022-03-09
David Landry,439,90084951,ppu49751,BP4,2020-10-05,2021-10-05
Susan Thomas,287,40866628,Brc39557,BP1,2022-09-26,2023-09-26
Jessica Allen,727,18784662,Zev75732,BP2,2022-08-09,2023-08-09
Michael Anderson,286,48925740,bWK89312,BP2,2022-03-12,2023-03-12
Rebecca Campos,763,50483939,aZB75783,BP4,2021-09-05,2022-09-05
Charles Scott,681,28492080,QRv99790,BP4,2020-07-07,2021-07-07
Kyle Villarreal,631,24887562,DCS17612,BP3,2022-01-21,2023-01-21
Jessica Jones,455,65428153,FOK08666,BP3,2021-03-02,2022-03-02
Jennifer Williams,392,73918466,EZO62756,BP2,2020-01-19,2021-01-18
Luis Buck,213,65240469,WBb22355,BP3,2022-10-28,2023-10-28
Sandra Garcia,159,11703883,EVC01114,BP1,2020-08-08,2021-08-08
Jessica Jones,083,6940601,VfB69485,BP2,2022-03-27,2023-03-27
Chase Cross,466,39019794,CQz55539,BP1,2020-09-08,2021-09-08
Sabrina Contreras,947,91170646,BHn45986,BP3,2022-02-09,2023-02-09
Jean Gilbert,122,86483544,Ikx31156,BP2,2020-08-12,2021-08-12
Danielle Lopez,811,50284753,PAw75055,BP4,2020-04-06,2021-04-06
